searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Florence Vinyl Soundtrack,48,16.95,63.99,29.47,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-cbebde89-d7bb-4636-81c8-6bfc1c71f725
Donut County (PS4),13,57.99,160.0,82.06,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fb2710aa-909f-4753-91e8-af29527cb154
Donut County Vinyl Soundtrack,2,149.99,160.0,155.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-52149003-e825-41ad-a2df-c23d4cf8557a
Grim Fandango 2xLP Vinyl Soundtrack,29,47.99,199.99,83.2,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-297a2ac1-03df-4eaa-a21f-3c038de933c5
Happy Memories Print by Keita Takahashi,2,40.0,50.0,45.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ee5c9008-264b-40e9-8a7c-ede8f1c668a2
Mega Man X - 30th Anniversary Classic Cartridge - Legacy Cartridge Collection,13,71.0,200.0,107.36,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c3a36dc2-e932-4304-8b90-b81297bb26de
Mega Man 2 - 30th Anniversary Classic Cartridge - Legacy Cartridge Collection,8,94.49,169.99,109.3,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0740883b-7280-45f7-a26c-f4686e766a2d
INSIDE Collector’s Edition,5,9.99,51.46,24.28,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6fa51d6b-38f9-4e50-9ba1-3706cd7dfcda
iam8bit Double-Sided Slipmat,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b0258e0f-8822-43a6-a48d-d68251e95a39
Shadow of the Colossus 2xLP Vinyl Soundtrack,11,94.26,175.0,130.71,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c473b19c-28be-4234-9bc3-4da7e8984490
Gang Beasts PS4 Physical Game,15,15.0,45.77,23.76,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-56e7fad7-2dc0-44f9-afa6-52fc438e686a
Gang Beasts 2xLP Vinyl Soundtrack,35,39.99,179.0,69.76,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4ad37538-bd22-40b2-9c9f-7a70fcab20ab
Uncharted: The Lost Legacy 2xLP,32,9.5,24.99,14.38,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0265be6a-5a1f-4e60-bde7-2138d91081ee
What Remains of Edith Finch Vinyl Soundtrack,10,115.0,179.99,141.32,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-905e9fff-feb2-4360-a877-0fe065a65511
Conker’s Bad Fur Day Vinyl Soundtrack 2xLP,3,59.99,165.72,103.9,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2291e0e3-b160-4de6-bb62-db3b930c1507
Battletoads in Battlemaniacs Vinyl Soundtrack,47,29.99,124.99,46.77,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-21d5ec19-0864-4718-b7a0-b900622b1ed9
Viva Piñata Vinyl Soundtrack 2xLP,32,44.99,169.99,72.73,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-61699cbe-9259-43b8-a7fa-8cf316711019
Inside Pin Set,12,8.95,299.99,43.02,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8cbbe135-317c-407c-adea-4762aa197df3
Limbo Pin,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e0f6999a-17c4-4a73-86e6-04557109c97b
Monument Valley 2 Vinyl Soundtrack,22,29.99,150.0,79.8,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-37d3d43c-544d-43df-95d5-8785a39d2f2c
Rez Infinite PC Collector’s Edition,5,39.99,150.0,101.18,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8c98127a-8645-4f2b-8f02-e61ab648085a
Smash Hit / PinOut 2xLP Vinyl Soundtracks,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ca069017-316b-4889-9add-97a23dd4841d
Steven Universe 4 x 10” Vinyl Set,25,89.99,143.32,103.4,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-55c29e99-2481-4bdb-901e-71126f088610
What Remains of Edith Finch PS4 Physical Edition,9,123.12,179.99,144.24,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-63ebdffe-67f2-4df2-9a6e-aa64140535f1
140 Vinyl Soundtrack,25,36.91,110.0,58.29,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0d97452f-3ab3-4ef7-a8b8-0d52744317de
The Mushroom Kiss by Jose Emroca Flores,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-dd12a7e0-c6b1-4ad3-9ee2-4be608b5e007
Play Mates: Cloud & Chocobo By Philip Tseng,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2fa4a06a-65d1-4761-b5c1-6ccbf17418bc
The Things We Do for Love: Space Ace By Mark Borgions,14,3.79,5.25,4.41,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c1ec2879-2f2e-4694-ad74-4d5393f9425f
Everybody Loves a Good Villain: Super Game Bros. By Gabe Swarr,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d034be2c-7186-45c8-8047-79204dd46e1f
Everybody Loves a Good Villain: Donut Friends By Gabe Swarr,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-976370a7-8ac9-4350-9a97-460d72138d3c
True Love By Gerald De Jesus,7,14.99,34.0,20.33,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9ee08f37-0b4b-47cf-ac66-02f8158f3862
What’s-Her-Name By Austin James,7,12.5,35.0,25.58,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9ed0d12f-b849-4147-97af-e3cf949a5fa1
ISOMETRIC LOVE by Drew Wise,17,5.21,20.35,10.13,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d5b4f654-e364-4ce9-bb3b-013cc4bdb6f3
Johto Legends 2xLP (Music from Pokemon Gold & Silver),1,99.99,99.99,99.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-29ab5cb3-fcfd-4765-97d1-84cf79fc9c1a
Persona 5 Vinyl Soundtrack - The Essential Edition 4xLP,15,188.99,499.95,225.85,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2d195486-4064-4d0a-b48b-88071c029e63
Hyper Light Drifter - PS4 Physical Game,16,42.88,90.55,59.33,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-37eac5b8-f7a0-49b6-9de9-2d7915cb4e93
Owlboy Boguin Plush,1,79.95,79.95,79.95,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d6d2efe9-4249-48e9-8539-d70666aa465e
Warframe Hard Enamel Pin,42,8.99,15.0,10.65,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a1467acc-b5c4-4d6a-9157-931733038efc
iam8bit Pin,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-722f62dd-4f35-49d5-9364-668531952ae1
Job Simulator Poster Set,2,16.33,18.84,17.58,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-79792a7e-79c9-46f9-852c-fb3430681eee
Job Simulator Magnet Set,3,162.0,298.0,219.67,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d0fa5aa3-63be-4975-bd27-a5aa58eea0e5
Sunset Riders EP,47,59.0,150.0,86.69,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-02c2d0f9-0637-49e8-b071-d86efafd9bce
Hero of Time 2xLP (Music from The Legend of Zelda: Ocarina of Time),1,128.88,128.88,128.88,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-58125c17-845c-4006-89b2-186c13419db1
BOUND Original Soundtrack,49,5.92,53.49,14.09,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a89d63a0-fe07-4251-bf64-7083caa8a90d
Day of the Devs Pin,40,9.99,29.99,16.03,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f9725ac6-2d81-43cb-9a98-86a8d5a7d02c
Bates Motel: Collector’s Edition Vinyl,9,100.0,350.0,175.54,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7870c5c2-522d-4ba2-91e2-81cc6f5ab6bd
The Last Guardian Vinyl Soundtrack 2xLP,5,55.0,125.99,102.19,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-76130103-ec94-4c89-abd4-31eccc7e8525
FlOw Vinyl Soundtrack,35,19.56,82.0,35.29,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-caacf8c9-a50e-46a8-bccd-026ad3683d34
Rez Infinite - Vinyl Soundtrack 2xLP + Retrospective Book + 7” Bonus Vinyl - Orange Vinyl Edition,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c42dce13-9269-45d7-a3aa-e78ec7d9f328
REZ Infinite - PS4 Physical Game,9,29.99,90.55,77.57,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-46e06883-4abf-47c2-a491-7edb13b97b33
Swiss Army Man Collector's Edition Vinyl,5,59.95,250.0,138.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f28905bc-4cc7-4a8b-b868-95fb22f210ce
Hyper Light Drifter Vinyl Soundtrack 4xLP,5,149.99,298.98,201.34,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-93c7bce1-6c18-4873-978e-bebd69126773
Hyper Light Drifter Collector’s Edition - Legacy Cartridge Collection,1,85.0,85.0,85.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-235a12dc-703e-4cd0-82f4-78823deee582
Ori and the Blind Forest Vinyl Soundtrack 2xLP,14,29.95,111.0,60.63,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9d5adf3a-d98f-4f46-97d8-5249022ef4f3
Banner Saga 2 Vinyl Soundtrack 2xLP,37,34.95,199.99,64.18,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-cc2a12aa-4e52-4716-ad2e-f1e030c5895c
Monument Valley Vinyl Soundtrack 2xLP,36,44.99,120.0,68.21,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-149c566a-b182-4901-a2cb-f6f6bb206c98
Banner Saga Vinyl Soundtrack 2xLP,34,34.95,120.0,60.81,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-76fe31a2-2e49-4927-bbc0-1e8c24e62e37
Guild Wars 2: Heart of Thorns Vinyl Soundtrack 2xLP,2,21.0,24.5,22.75,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-65cb70aa-6d32-4c7c-a668-d3acd38b7e95
Fastfall: Dustforce Vinyl Soundtrack,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f496c69b-821a-4ad8-afce-7e225e0c0a0b
Space Worlds Map by Edison Yan - Default,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d0f098f9-504a-41bb-b1ce-745fdef8f412
Super Hexagon EP,24,50.0,174.99,97.25,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-639aa261-54be-4cce-9c37-2c1d755735cc
Banjo and Kazooie Vinyl Soundtrack 2xLP,17,49.99,189.99,87.64,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-85c56380-fc99-4900-b0aa-1dd88df9d80a
Battletoads Vinyl Soundtrack,34,30.0,100.0,54.46,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-66d8038c-3dff-4830-9e5c-26de748ec8ff
iam8bit Cartridge Magnet,9,99.95,210.0,141.53,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-02c2ed6d-8612-434b-95b2-f3924992d85a
Bowser by Evan Yarbrough - Screen Print,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fafb8905-53ee-47d9-bfde-c825fedf1bdf
The Last Level by Andy DeGulio,1,49.0,49.0,49.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-88892a44-6aeb-41a2-ad65-8f18070e3eb4
Columbia Broadcasting System by Nikkolas,35,0.25,129.89,37.73,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f47e9669-4d5f-4f57-9b52-1b23da6f1aea
