searching,github_webpage,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Rapid Strike Master Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Rapid_Strike_Master_Japanese_Booster_Box.html,16,123.16,302.27,186.03,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-bba42c26-0d9b-4af6-a1b8-77d23e0f6a66
Single Strike Master Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Single_Strike_Master_Japanese_Booster_Box.html,11,104.58,302.27,179.2,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-06e84768-514b-4018-b77f-8434a9610225
Shiny Star V Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Shiny_Star_V_Japanese_Booster_Box.html,37,72.0,950.0,155.53,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c7a71b0d-7cca-4204-8f8c-b0c569a65a3c
Amazing Volt Tackle Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Amazing_Volt_Tackle_Japanese_Booster_Box.html,17,65.0,142.97,99.74,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c6f4dbab-f687-47df-9c45-9db1d460b794
Legendary Heartbeat Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Legendary_Heartbeat_Japanese_Booster_Box.html,13,108.0,135.5,122.75,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4fc06a3b-7753-4a87-85df-df6b109bfb3b
Infinity Zone Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Infinity_Zone_Japanese_Booster_Box.html,62,2.25,1545.51,156.11,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ad764e23-1ef7-48b8-8b74-6223c05e2093
Explosive Walker Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Explosive_Walker_Japanese_Booster_Box.html,59,5.5,542.88,129.35,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-15ec58ef-3ae6-4135-91a0-3a8ef7f1a8eb
Rebellion Crash Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Rebellion_Crash_Japanese_Booster_Box.html,59,5.5,1042.0,152.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6926e6ad-9b15-4269-bb97-d5705885db2d
VMAX Rising Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/VMAX_Rising_Japanese_Booster_Box.html,20,120.13,230.0,151.14,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5bd977a1-d42d-40e0-9e1c-c7dff8e74a7d
Sword Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Sword_Japanese_Booster_Box.html,10,86.18,164.99,113.74,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8acb2666-82fc-4c83-a7dd-f46f06b8bdaf
Shield Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Shield_Japanese_Booster_Box.html,18,59.0,440.0,114.9,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a6e4e26f-0a35-45aa-ba63-683c45c2b83a
