searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
SQUISHMALLOWS KELLYTOY PLUSH 16 ANASTASIA THE AXOLOTL,17,20.0,50.0,38.93,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-53f1c569-1006-4b38-be9b-4f68c6c4cb9f
STEP2 MY FIRST CHRISTMAS TREE ORIGINAL KID FRIENDLY ORNAMENTS,8,42.0,89.99,65.78,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-358c93b2-7203-4fc9-a870-dc80c51569ed
TAMAGOTCHI 42833 ON FAIRY BLUE,24,149.97,299.95,197.54,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6a5987cc-04a3-428c-a7f8-ec7283f9d248
TRANSFORMERS CYBERTRON GALACTIC ODYSSEY,19,49.99,114.99,80.31,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7f672fdb-7706-4c1f-b268-7eb6ba236bb4
TRANSFORMERS GENERATIONS WAR FOR CYBERTRON: EARTHRISE VOYAGER,16,45.0,110.0,68.8,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8b974639-3765-42a5-9f30-8562689e2a4d
TRANSFORMERS TOYS GENERATIONS LEGACY SERIES COMMANDER DECEPTICON,16,63.0,119.81,86.02,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3aa6ee31-0da5-44ba-a745-0a27c044f6a2
TRANSFORMERS TOYS STUDIO SERIES 86-07 DINOBOT SLUG FIGURE,34,54.9,94.99,70.15,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c81b3245-b4b2-4805-bf1b-66d248195deb
WWE FAN TAKEOVER JEFF HARDY ACTION FIGURE,15,88.0,129.99,99.66,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-283075d9-e095-4163-abf5-e06149ef29a3
YOTO MINI BLUETOOTH AUDIO PLAYER TRAVEL DEVICE,3,169.99,199.99,183.32,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f1d15fc9-bd11-468e-b78f-0539a1bd0c65
YOTO MINI BLUETOOTH AUDIO PLAYER TRAVEL DEVICE STARTER PACK,5,142.5,239.0,177.7,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a542d645-b279-4eb7-a119-aaa1063829ed
HRO DC UNLOCK 2 PACK BOOSTER BOX 14 CARDS NFT TRADING CARDS,4,62.95,80.0,73.24,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-82f6ac0f-87be-48fd-b542-26d6d3f007dd
HRO DC UNLOCK 2 PACK STARTER PACK 15 CARDS NFT TRADING CARDS,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-34b2fc3f-ab96-4991-ae2a-eec31d84d952
HRO DC UNLOCK 2 PACK STARTER PACK 15 CARDS NFT TRADING CARDS 2,4,62.95,80.0,73.24,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-321d10d0-e5c2-46bc-bdd9-94c97912d5b0
HRO DC UNLOCK 24 PACK MEGA BOOSTER BOX NFT TRADING CARDS,5,59.99,80.0,70.59,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-49ca4310-9a8e-4ffb-80fd-e47a2a04ca25
HRO DC UNLOCK 4 PACK PREMIUM BOOSTER BOX 29 CARDS NFT TRADING CARDS,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0b06d9ec-c79f-4fe6-baf1-02c5205a52fd
