searching,github_webpage,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
rlc exclusive kawa bug a 49 vw beetle hgk76,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_kawa_bug_a_49_vw_beetle_hgk76.html,25,64.97,145.0,114.25,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2afb85be-596d-45bb-a221-56ce10489329
rlc selections 82 lamborghini countach lp500 s hgw25,https://streamline1175.github.io/130-Search-Results/rlc_selections_82_lamborghini_countach_lp500_s_hgw25.html,19,40.0,56.88,46.62,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3ef0944a-2d44-44e7-820b-0cadf60b2fa2
rlc exclusive datsun 150 hgw17,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_datsun_150_hgw17.html,8,44.0,59.5,50.39,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-402e2077-42de-4777-9991-7e87c953b6c9
rlc exclusive holiday 64 impala,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_holiday_64_impala.html,13,74.99,105.0,85.65,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-12737b89-2aa7-4d21-90dd-780927826f82
hot wheels ultimate challenge nissan skyline gt r r33 hyh22,https://streamline1175.github.io/130-Search-Results/hot_wheels_ultimate_challenge_nissan_skyline_gt_r_r33_hyh22.html,29,14.5,59.0,25.68,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1118e957-9117-45ca-aee0-db06b03cdfa7
rlc exclusive 71 datsun 510 glh93,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_71_datsun_510_glh93.html,15,60.99,235.0,119.98,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9797c7a9-f67d-4778-827f-523c5b462aea
rlc exclusive volkswagen drag bus glh95,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_volkswagen_drag_bus_glh95.html,19,65.0,145.0,84.31,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-73e9af4c-7f6f-47d4-8103-36239586fa3a
rlc exclusive custom mustang,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_custom_mustang.html,20,26.55,70.0,38.4,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b4ecde41-8438-40af-bd04-3dcf06ebaee6
rlc exclusive 2006 bmw m3 glh84,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_2006_bmw_m3_glh84.html,10,50.0,57.7,52.92,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1af20f9f-5fe6-48e9-9db2-89a4a7706eba
rlc exclusive 1969 dodge charger r t glh82,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_1969_dodge_charger_r_t_glh82.html,31,31.0,102.5,52.24,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9e1ecfbb-9f1e-4643-b281-94b15aa55af3
