searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
HYDE LIGHT AND SOUND PUMPKIN LEWIS HALLOWEEN GHOUL,7,24.99,49.99,34.27,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f2e53a4a-386d-42e2-9a54-11daaa59dfae
HYDE MIDNIGHT RAVEN FEATHERLY BRIDE BIRD FIGUERINE,4,12.0,16.75,14.68,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b352cab0-d14a-432a-8400-01e08713a8c4
HYDE MIDNIGHT RAVEN FEATHERLY FRIENDS BIRD HALLOWEEN FIGURINE,7,14.5,24.79,18.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-754f44d1-209f-426d-9c3a-af93bf4b14d6
HYDE MIDNIGHT RAVEN FEATHERLY FRIENDS MONSTER BIRD FIGURINE,7,14.99,24.79,19.18,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-76800712-8fed-42c5-b9ae-43d19c7a8ce5
LEGO HARRY POTTER ATTACK ON THE BURROW WEASLEY DOLLHOUSE,44,115.0,150.0,132.81,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fa80d233-5ae8-47d2-9319-fe8d3c80406d
LEGO HARRY POTTER FAWKES DUMBLEDORE 76394 KIT,48,55.0,80.0,70.1,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-49438695-7de4-4536-bf95-1c966913a29f
LEGO HARRY POTTER HOGWARTS CHESS BUILDING KIT,44,69.95,109.99,85.69,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-71170a35-195a-48aa-b3cc-4288aadfa150
LEGO HARRY POTTER HUNGARIAN HORNTAIL DRAGON 76406,32,52.0,94.9,66.2,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-61d06021-6a54-4e3a-a60a-c33fade3d22f
LEGO ICONS BOTANICAL COLLECTION BIRD OF PARADISE SET 10289,47,140.5,179.99,154.84,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-56252931-8185-4a20-b02b-c07f7e5d6c19
LEGO JURASSIC PARK TREX BREAKOUT SET 76956,37,95.5,149.95,114.24,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4fe457f6-2962-480b-8982-c2b93c989052
LEGO MARVEL NEW GUARDIANS SHIP SET 76255,15,68.99,86.99,74.26,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-bc81353b-f637-48ed-bab4-d0330eb8371a
LEGO MARVEL SPIDER MAN CARNAGE BUILDING KIT 76199,37,59.95,110.0,86.47,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0f5af2f1-bb0f-43df-87fd-80724002630f
LEGO SPIDERMAN VENOM MASK 76187,11,59.99,104.99,77.34,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0cf56636-8ccb-476d-a88e-b6d5dd1132ba
LEGO STAR WARS DEATH STAR TRENCH RUN DIORAMA SET 75329,51,44.0,81.16,55.67,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1aed8ab8-70f4-4a0e-bf98-f8a500146388
LEGO STAR WARS AMBUSH ON FERRIX ANDOR SERIES SET 75338,15,58.99,92.9,66.52,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-cff51f8d-a0e5-4391-bd73-aa18f738a8a1
LEGO STAR WARS BOBA FETT HELMET BUILDING KIT,9,68.68,97.5,81.82,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4b4c630e-9a6c-4ec4-8d83-871114daf2d0
LEGO STAR WARS DAGOBAH 75330 SET,45,64.99,149.99,85.15,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d41b1919-d554-4c31-aba7-f3adf0e31e73
LEGO STAR WARS DARK TROOPER HELMET SET 75343,17,59.5,119.99,81.84,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-23256fd2-add7-43ad-8b8c-4c9f8b103518
LEGO STAR WARS INQUISITOR TRANSPORT SCYTH 75336,40,78.6,159.99,106.51,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fcc45e8c-d1b1-4863-bc4d-53abf6b9a452
LEGO STAR WARS LUKE SKYWALKER RED FIVE HELMET SET 75327,71,55.99,87.92,70.42,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5400be18-1d3f-4ea9-bb70-863a0be05bf6
LEGO STAR WARS REPUBLIC FIGHTER TANK 75342,40,43.0,71.0,52.4,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4721cc5d-9942-47ae-86c8-5aec40c1d090
LEGO STAR WARS THE ARMORER 75319 BUILDING KIT,48,42.56,56.0,49.24,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c6521e7c-19bb-4896-8b75-824488c9387f
LEGO STAR WARS TIE FIGHTER PILOT HELMET BUILDING KIT 75274,44,222.5,510.0,286.77,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-26fc1605-d176-49b6-9ac1-9d0f96aa012c
MARVEL SUPER HEROES 2 PLAYER COUNTERCADE,35,167.5,395.99,236.22,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a21d4fa4-5d2d-498f-a0a7-59698b03a331
MARVEL UPPER DECK METAL TRADING CARD BLASTER BOX,13,27.0,199.0,55.41,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2a9df9e5-1428-4fde-b0ba-1224bd206f19
MCFARLANE DC MULTIVERSE THE FLASH MOVIE ACTION FIGURE - BATMAN,10,23.5,36.95,29.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0db97bf6-b934-493b-af9e-fe69df80f634
MCFARLANE TOYS DC MULTIVERSE THE FLASH BATMOBILE TOY,16,59.99,100.0,74.59,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a1ae5530-8c5d-4a53-81cd-874c435bff93
MONOPOLY PRIZM NBA EDITION GAME,47,22.99,88.99,32.85,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5e2c3d84-5e7e-42fd-8295-a0ea991f4ab0
MONOPOLY PRIZM: 2022-23 NBA CARDS BOOSTER BOX GAME,14,31.0,109.0,53.31,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a5bf18bd-e12d-4723-84c6-d7f17170f9ec
MONSTER HIGH DOLL DRAMA DRACULAURA,38,74.99,149.99,97.3,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9fdabc4d-bcf9-447b-91bf-af34c6a015fd
MORTAL KOMBAT 1 KOLLECTOR'S EDITION - PS5,18,130.0,220.0,157.52,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-67a70971-adc6-486b-b13d-d981d8d588a1
MORTAL KOMBAT 1 KOLLECTOR'S EDITION - XBOX SERIES X,47,28.99,80.88,39.06,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d70f5ac5-3752-4775-acd5-a28ec55ea4c0
NINTENDO SUPER SMASH BROS AMIIBO FIGURE - SORA KINGDOM HEARTS,9,25.0,47.99,30.82,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c7347108-c19d-4195-9073-99fd94788bb9
NINTENDO SWITCH OLED LEGEND OF ZELDA EDITION,42,295.0,417.77,332.42,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-dd4b5cd4-ccc7-4f46-94ab-6e1e17edc772
NINTENDO SWITCH OLED POKEMON SCARLET AND VIOLET EDITION,16,275.0,419.99,321.34,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-55985f98-6c63-4407-ad3b-898df154dabc
NINTENDO SWITCH PRO CONTROLLER - LEGEND OF ZELDA TEARS OF THE KINGDOM EDITION,40,59.99,140.0,79.33,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-32c2e336-089b-43bf-a30d-284b931aee8b
NINTENDO XENOBLADE CHRONICLES 3 SERIES AMIIBO FIGURES NOAH MIO 2 PACK,7,33.99,79.0,49.4,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6483c7a8-047d-4bf6-91d2-95d4b5ac657b
OWALA 24 OZ VALENTINES DAY XOXO STAINLESS STEEL FREESIP WATER BOTTLE - PINK,30,43.0,66.66,51.35,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9326f91f-6893-4c2a-a595-0ec746ee5b96
OWALA 40 OZ STAINLESS STEEL TUMBLER - MARINE,40,19.99,49.99,27.98,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-efdb3d15-d4e8-4275-8040-ef449a66e6bf
OWALA 40 OZ STAINLESS STEEL TUMBLER - NEO MINIMAL,40,20.99,49.99,28.61,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6781263b-6eb6-49b6-ba45-7f1b634c36cc
OWALA 40 OZ STAINLESS STEEL TUMBLER - PERIWINKLE,39,21.0,49.99,29.16,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-df253691-fc84-4991-96ed-7fde47606a97
OWALA 40 OZ STAINLESS STEEL TUMBLER - VERY / VERY DARK,41,19.99,49.99,28.11,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1469e178-7b30-4f40-8559-a448ac2b450e
