searching,github_webpage,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
bape hot wheels 1955 mercedes benz 300 sl hjp38,https://streamline1175.github.io/130-Search-Results/bape_hot_wheels_1955_mercedes_benz_300_sl_hjp38.html,7,110.0,145.0,124.98,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0a7d7458-b243-42ee-a27b-f99e6113f0d2
bape hot wheels flag logo trucker cap hpj75,https://streamline1175.github.io/130-Search-Results/bape_hot_wheels_flag_logo_trucker_cap_hpj75.html,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4325592d-74a0-47ec-a4dc-e832b693c4ca
barbie 12 days of christmas doll and accessories hby18,https://streamline1175.github.io/130-Search-Results/barbie_12_days_of_christmas_doll_and_accessories_hby18.html,6,219.95,249.99,231.66,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-71f8a99f-3c70-45ff-845a-6a669f20db87
barbie 12 days of spring doll and accessories hrm27,https://streamline1175.github.io/130-Search-Results/barbie_12_days_of_spring_doll_and_accessories_hrm27.html,11,203.0,249.99,223.9,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c3344dd8-27db-4bc2-8a75-bc76729029c6
barbie 1973 doctor barbie doll gtj94,https://streamline1175.github.io/130-Search-Results/barbie_1973_doctor_barbie_doll_gtj94.html,10,59.0,98.95,82.92,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-cf955d75-7e82-4a08-bbfa-0fefa43ebc3b
barbie 2021 dia de muertos doll gxl27,https://streamline1175.github.io/130-Search-Results/barbie_2021_dia_de_muertos_doll_gxl27.html,8,53.99,170.0,105.44,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d5988146-3f35-4ee7-a8b0-c592337b5275
barbie 2021 dia de muertos ken doll gxl26,https://streamline1175.github.io/130-Search-Results/barbie_2021_dia_de_muertos_ken_doll_gxl26.html,19,64.95,170.0,96.49,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d802f798-a78d-4317-8e66-a823ddc5fe75
barbie 35th anniversary teresa doll hjx32,https://streamline1175.github.io/130-Search-Results/barbie_35th_anniversary_teresa_doll_hjx32.html,7,43.0,94.7,61.81,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f1171dc8-e4df-4837-a2ea-c7a8d7eede53
barbie 60th anniversary careers dolls limited edition bundle gnr88,https://streamline1175.github.io/130-Search-Results/barbie_60th_anniversary_careers_dolls_limited_edition_bundle_gnr88.html,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d26a03a0-7f53-4dcd-aca4-7426310ad68e
barbie 65th anniversary doll with blonde hair hrm58,https://streamline1175.github.io/130-Search-Results/barbie_65th_anniversary_doll_with_blonde_hair_hrm58.html,11,57.0,118.95,83.35,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-179d8357-44d1-4035-911d-a89f3090aeee
