searching,github_webpage,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
monster high lagoona blue reproduction doll hgc32,https://streamline1175.github.io/130-Search-Results/monster_high_lagoona_blue_reproduction_doll_hgc32.html,30,36.0,173.02,84.34,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3251f298-30a5-4e9c-a4dd-39c99d974f2d
monster high reel drama lagoona blue doll hkn30,https://streamline1175.github.io/130-Search-Results/monster_high_reel_drama_lagoona_blue_doll_hkn30.html,16,94.95,195.95,114.86,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f9ee10cb-c56b-4a08-ac96-6c6dfd39a1e4
monster high reel drama clawdeen wolf doll hkn28,https://streamline1175.github.io/130-Search-Results/monster_high_reel_drama_clawdeen_wolf_doll_hkn28.html,21,73.0,189.62,98.64,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-490cf363-700d-41c2-b3a1-34a0727f9a74
monster high reel drama draculaura doll hkn27,https://streamline1175.github.io/130-Search-Results/monster_high_reel_drama_draculaura_doll_hkn27.html,25,82.95,124.95,98.08,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-23b43d07-2800-4848-a99b-79c7d46d99e9
monster high frankie stein reproduction doll hgc31,https://streamline1175.github.io/130-Search-Results/monster_high_frankie_stein_reproduction_doll_hgc31.html,31,33.0,140.5,62.93,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-41d5cd3c-3d7f-41ed-be98-20a5ea27e390
monster high draculaura reproduction doll hgc29,https://streamline1175.github.io/130-Search-Results/monster_high_draculaura_reproduction_doll_hgc29.html,23,98.88,279.99,170.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0a103ee0-bb1f-4eed-802e-0f63b62d1a62
black and white surrealist ball mark ryden x barbie doll hjn31,https://streamline1175.github.io/130-Search-Results/black_and_white_surrealist_ball_mark_ryden_x_barbie_doll_hjn31.html,3,625.0,1100.0,785.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a2dd1697-4555-4862-938d-94e2bd7066bf
mark ryden barbie poster htk15,https://streamline1175.github.io/130-Search-Results/mark_ryden_barbie_poster_htk15.html,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9b9699d9-e276-4740-9cc9-2c57862a1581
pink pop barbie mark ryden x barbie doll hjn33,https://streamline1175.github.io/130-Search-Results/pink_pop_barbie_mark_ryden_x_barbie_doll_hjn33.html,7,520.0,749.95,619.71,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f892572b-fbd4-49d5-8b49-4043c776cb16
classic barbie by american girl collector doll hyf93,https://streamline1175.github.io/130-Search-Results/classic_barbie_by_american_girl_collector_doll_hyf93.html,8,508.0,630.0,580.25,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e45d0af1-2534-40ca-ba97-7f114c9ae729
