searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
69 chevelle ss 396 hww87,56,1.75,78.95,19.86,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-101982bf-038e-4ca9-a605-31e1d47707bd
70 dodge power wagon hww90,26,6.5,35.0,15.32,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-378655fa-0b06-4510-84eb-4b06bd7f85fd
78 porsche 935 78 hww86,43,99.98,199.99,143.24,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4ef90d61-d40e-46a5-88af-11791674ceb8
9th annual hot wheels collectors nationals nitty gritty kitty p2200,10,19.99,59.99,33.12,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a2a76dd2-eb4d-4571-ac26-01e5424e0f5e
barbiestyle barbie and ken doll 2 pack hjw88,13,85.0,188.42,135.15,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b5bd2968-eebe-4549-8e85-5d4382e6a2c3
barbiestyle fashion pack spring date hjx33,5,27.85,65.0,39.77,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c2e97a52-421a-499a-89b1-35faef8f440c
barbiestyle fashion pack urban chic hjw95,7,30.0,65.0,46.82,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b58d44eb-620d-46d9-b264-824f1a8379db
barbiestyle fashion studio doll set hbx98,5,129.99,199.99,164.47,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1728f759-1a12-49a8-8c84-77425b0222d2
acceleracers redeemable hvx88,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7e6482f2-f0fe-449b-b269-ee5014142341
aleali may barbie wardrobe accessories set hhg48,3,49.99,70.0,56.66,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5edf47d7-67ba-4057-ab6d-18fe71b0d150
barbie confidence is your best accessory charm bangle gxg22,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6a38e18c-3070-44db-952b-f36dcce35ead
barbie duo charm bangle gxg18,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fbeab31b-05f2-4751-954d-f80e90df789a
barbie name plate pull chain bracelet gxg21,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-630dd7b3-f23b-4df8-bf34-437b89b5e1f8
barbie trio charm bangle gxg20,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-83a53b66-370c-422d-b600-f2291c92e333
