searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
NINTENDO AMIIBO PYRA + MYTHRA 2 PACK - SUPER SMASH BROS,29,54.0,100.0,62.03,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3a1d536e-56f9-4c2b-872f-873eaf1ed13f
NINTENDO SWITCH PRO CONTROLLER - LEGEND OF ZELDA TEARS OF THE KINGDOM EDITION,41,55.75,140.0,78.42,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-66ef078a-4423-431f-a83c-bc28ec77e136
NVIDIA JETSON NANO DEVELOPER KIT 2 GB,6,52.31,149.0,85.72,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e0fe5104-c2ac-4ec7-b3ca-6e299cb857e9
NVIDIA JETSON XAVIER NX DEVELOPER KIT,11,450.93,999.0,696.36,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f03631c0-8e3a-4458-a130-9b0bca834883
NZXT H510 ELITE - BLACK,24,40.0,198.0,94.4,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c498b924-67ef-4110-af6b-37af4c1a810a
OBIHAI OBI200 VOIP ADAPTER,34,43.5,114.0,65.79,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6cde4253-8958-4647-b459-da22e18e14da
ONE PROTEIN BARS 12 COUNT PACK OF 1 - SMORES,14,29.99,71.33,41.1,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7f3b5354-512e-4437-b759-3c16f06d6634
PACE CHUNKY SALSA MILD - PACK OF 6,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0e8b9779-271e-4b64-b71e-29a7e695d3ed
PALMOLIVE SOAP AC1405,33,12.7,49.99,23.28,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-277b17d7-5c42-4943-8329-51584b0340fd
PIONEER DJ DDJ-400 2 DECK,19,217.5,450.0,272.71,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-df5a5916-7f2d-4121-8729-e30be894011f
PLAYSTATION 5 CONSOLE COVERS - MARVEL SPIDER MAN 2 LIMITED EDITION,34,430.0,799.87,674.17,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5c4ae2ac-4651-4939-8055-14c62af10b26
PLAYSTATION DUALSENSE WIRELESS CONTROLLER - SPIDER MAN 2 LIMITED EDITION,8,144.99,205.0,169.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a8423caa-2392-4459-91ba-a7c032b3437f
